Weight Change Measured (g), Time taken to measure (s)
579.950609, 8.422355
602.805038, 3.557317
621.673462, 2.616398
604.554872, 2.092553
615.425836, 7.690972
614.224632, 0.942368
628.423124, 1.046812
610.542455, 5.754181
599.805977, 6.750305
606.435573, 6.017427
612.716863, 3.504507
604.761410, 0.732260
595.344529, 7.011700
612.001726, 1.987771
607.833466, 5.596659
610.680839, 1.883309
603.644104, 2.668008
607.614413, 2.511614
603.505984, 10.252916
610.701935, 4.342526
605.101888, 3.870995
601.946813, 0.836875
605.705203, 4.342182
603.307338, 1.150692
606.359615, 2.302121
611.402876, 0.785129
623.130176, 0.993851
614.054269, 0.785050
604.276630, 5.387452
603.366157, 3.609118
619.381800, 1.936129
619.332069, 2.930046
616.514747, 3.505530
613.041023, 3.297020
604.548126, 3.035290
613.538926, 1.936661
610.903393, 11.982889
606.063623, 0.993913
612.002025, 1.307569
606.774086, 2.197108
617.668794, 2.616329
602.880328, 1.884351
612.176212, 3.244248
603.426594, 3.452895
613.714853, 4.238427
598.717322, 1.203139
609.718796, 8.631083
605.440808, 0.627658
613.685349, 5.230805
621.246754, 2.720176
