Weight Change Measured (g), Time taken to measure (s)
613.880454, 1.569828
611.131329, 0.732668
605.057739, 2.093384
604.110235, 1.151314
615.555378, 0.837390
617.210998, 1.098764
609.968397, 1.047045
600.861004, 0.732948
612.407774, 1.046559
616.084890, 1.098521
602.363635, 1.203557
629.589618, 0.941585
605.258938, 2.354423
592.616184, 1.360829
608.331288, 2.616416
627.782182, 2.407167
613.783280, 2.407024
608.893776, 0.941584
606.678400, 3.662645
608.230823, 0.680397
608.937055, 1.360843
607.931320, 0.680236
637.979243, 0.942050
633.688305, 1.412675
678.701999, 0.942134
616.834161, 1.151332
554.796005, 2.250331
606.164296, 0.732609
624.672909, 2.930553
591.176664, 2.511908
585.828636, 2.198065
584.969710, 0.837042
572.444291, 2.093062
620.690214, 0.889509
629.568496, 1.569929
619.198870, 0.785164
595.831222, 1.673867
605.235127, 3.556761
612.935905, 1.360260
594.532691, 2.040632
608.673701, 1.778871
615.062046, 1.988848
607.878445, 1.779382
600.300163, 0.837387
611.539993, 2.041448
621.076410, 0.994051
601.515123, 2.250476
603.225150, 1.674227
609.335613, 1.204090
608.088064, 1.151340
